Company Name,Domain,SEO Description
Tencent,tencentgames.com,Leading global game developer with 140+ games including PUBG Mobile and Honor of Kings reaching 200+ countries
Century Games,centurygames.com,Beijing-based mobile game developer behind Whiteout Survival achieving $1.5B+ global success in strategy games
NetEase,neteasegames.com,Chinese gaming giant and global developer of LifeAfter and partnerships with major entertainment brands
FUNFLY,funfly.com,Singapore-based developer of Last War: Survival 4X strategy game generating $3B+ gross spending
Dream Games,dreamgames.com,Turkish mobile gaming company creating global hits Royal Match and Royal Kingdom with 55M monthly users
Scopely,scopely.com,"#2 mobile game developer worldwide behind MONOPOLY GO!, Star Trek Fleet Command, and Marvel Strike Force"
Playrix,playrix.com,#1 European mobile game developer creating Gardenscapes and Homescapes with $2B+ lifetime revenue
King,king.com,Activision Blizzard subsidiary and creator of Candy Crush franchise generating $20B+ lifetime revenue
miHoYo / HoYoverse,hoyoverse.com,Shanghai-based developer of Genshin Impact and Honkai Star Rail with 5000+ employees worldwide
Supercell,supercell.com,Finnish mobile gaming company behind Clash of Clans and Brawl Stars with 500M+ global players
FunPlus,funplus.com,Swiss-headquartered publisher of State of Survival and King of Avalon each generating $1B+ revenue
37GAMES,37games.com,Global publisher of Puzzles & Survival combining match-3 mechanics with 4X strategy gameplay
IGG,igg.com,Singapore-based developer of Lords Mobile and Castle Clash serving 200+ countries since 2006
Lilith Games,lilith.com,Chinese developer of Rise of Kingdoms and AFK Arena with leading market position since 2013
Netmarble,netmarble.com,South Korean publisher of Seven Knights and Lineage 2: Revolution with 100M+ downloads
SpinX,spinxgames.com,Hong Kong social casino game developer creating Cash Frenzy and Lotsa Slots
Cygames,cygames.co.jp,Japanese studio behind Granblue Fantasy and Uma Musume with $2B record-breaking revenue
Florere,florere.com,Chinese developer of Dark War Survival and Last Z zombie-survival games in emerging markets
Nexon,nexon.com,South Korean publisher of Dungeon & Fighter Mobile and MapleStory M with strategic gaming investments
Pearl Abyss,pearlabyss.com,South Korean MMORPG developer of Black Desert Mobile enjoyed by 40M users across 150 countries
SHIFT UP,shiftup.co.kr,South Korean developer of Goddess of Victory: Nikke and Stellar Blade with $500M+ first-year revenue
Yostar,yo-star.com,Tokyo/Shanghai publisher of Azur Lane and Arknights specializing in global game distribution
Machine Zone,machinezone.com,US developer of Game of War and Mobile Strike pioneering 4X strategy mechanics
Zynga,zynga.com,Take-Two Interactive subsidiary behind FarmVille and Words with Friends with 10B+ downloads
Gameloft,gameloft.com,French publisher with 3600+ employees creating Disney Dreamlight Valley and LEGO Star Wars
Rovio,rovio.com,Finnish creator of Angry Birds franchise with studios across Europe and 461M+ downloads
Wildlife Studios,wildlifestudios.com,Brazilian developer of 60+ games including Tennis Clash and Zooba with 4B+ downloads
Voodoo,voodoo.io,Parisian hyper-casual publisher with 7B+ downloads and 150M monthly active users worldwide
Niantic Labs,nianticlabs.com,US augmented reality gaming pioneer behind Pokémon GO revolutionizing outdoor mobile gaming
Ubisoft Mobile,ubisoft.com,French AAA publisher expanding Assassin's Creed and Rainbow Six franchises to mobile platforms
EA Mobile,ea.com,Electronic Arts mobile division publishing FIFA Mobile and other sports titles globally
Peak Games,peakgames.net,Turkish studio behind Toy Blast and Toon Blast acquired by Zynga for $1.8B
Hungry Studio,hungrystudio.games,Hong Kong developer of Block Blast the most-installed mobile game in 2024-2025
