company_name,domain,tier,top_game,top_game_downloads,funding_status,seo_description,game_hook
Century Games,centurygames.com,WHITEOUT SIMILAR,Whiteout Survival,30M+,VC-backed,"#1 mobile game maker 2025, creators of Whiteout Survival with $1B+ revenue in 17 months",Glacial apocalypse survival strategy with base building and troop management
FunPlus,funplus.com,WHITEOUT SIMILAR,State of Survival,100M+,$86M Series B,"Global mobile game publisher with multiple $1B+ revenue games including King of Avalon",Zombie survival strategy with alliance warfare and base building
Lilith Games,lilithgames.com,WHITEOUT SIMILAR,Rise of Kingdoms,50M+,$1.79M seed (IDG Capital),"Chinese mobile game studio with $3.5B+ lifetime revenue from Rise of Kingdoms",4X civilization strategy with real-time multiplayer battles
IGG,igg.com,WHITEOUT SIMILAR,Lords Mobile,300M+,Public company (HKG: 0799),"Hong Kong-based publisher with Lords Mobile generating $825M+ revenue globally",Real-time strategy RPG with clan wars and global PvP
Supercell,supercell.com,WHITEOUT SIMILAR,Clash of Clans,500M+,$143M total (Accel/IVP),"Finnish mobile game developer acquired by Tencent for $10.2B, legendary game studio",Strategic village building with epic clan warfare
37Games,37games.com,WHITEOUT SIMILAR,Puzzles & Survival,50M+,Public company,"Chinese game publisher combining match-3 puzzle with zombie survival strategy",Match-3 hybrid with zombie apocalypse and sanctuary building
Long Tech Network,longtechgames.com,WHITEOUT SIMILAR,Last Shelter: Survival,50M+,VC-backed,"Developer of Last Shelter with nation-vs-nation combat and post-apocalyptic setting",Post-apocalyptic strategy with massive multiplayer warfare
IM30.NET,im30.net,WHITEOUT SIMILAR,Last Fortress: Underground,30M+,VC-backed,"Chinese studio behind Last Fortress underground survival builder",Underground fortress building with hero recruitment and mutant battles
Tencent,tencent.com,WHITEOUT SIMILAR,Honor of Kings,500M+,Public company (HKG: 0700),"World's largest gaming company with $5.7B mobile revenue in 2025",MOBA and strategy games with massive esports ecosystem
NetEase,neteasegames.com,WHITEOUT SIMILAR,LifeAfter,50M+,Public company (NASDAQ: NTES),"Chinese gaming giant with open world survival MMORPG expertise",Open world doomsday survival with crafting and zombie invasions
Camel Games,camelgames.com,WHITEOUT SIMILAR,Age of Origins,20M+,VC-backed,"Tower defense strategy studio with zombie apocalypse themes",Tower defense combined with city rebuilding and zombie combat
Top Games Inc,evony.com,WHITEOUT SIMILAR,Evony: The King's Return,50M+,VC-backed,"Strategy MMO publisher with historical empire building games",Real-time strategy empire building with army training and conquest
Kefir!,kefirgames.com,WHITEOUT SIMILAR,Last Day on Earth: Survival,100M+,VC-backed,"Russian studio behind viral zombie survival shooter with base building",Multiplayer zombie survival with crafting and shooting mechanics
FUNFLY,funflygames.com,WHITEOUT SIMILAR,Last War: Survival,50M+,$1.03B revenue 2025,"Singapore studio that exploded with Last War reaching $1B in first year",4X zombie bunker strategy with viral TikTok marketing
Farlight Games,farlightgames.com,WHITEOUT SIMILAR,Call of Dragons,20M+,VC-backed (Lilith spin-off),"Fantasy MMO developer from Rise of Kingdoms creators",Fantasy strategy with dragon riding and alliance battles
StarUnion/StarFortune,staruniongame.com,ADJACENT,The Ants: Underground Kingdom,30M+,VC-backed,"Ant colony strategy game developer with unique underground empire building",Base-building strategy where you lead an ant colony underground
Scopely,scopely.com,ADJACENT,Monopoly GO!,100M+,$4.9B acquisition (Savvy Games),"#1 mobile game 2024 publisher with $5B+ lifetime revenue",Licensed IP games with social rivalry and casual mechanics
Dream Games,dreamgames.com,ADJACENT,Royal Match,100M+,$468M total ($2.5B round),"Turkish unicorn and fastest-growing match-3 developer with $3B+ revenue",Match-3 puzzle with royal decoration and polished gameplay
Playrix,playrix.com,ADJACENT,Gardenscapes,100M+,$7B valuation (2020),"#1 European mobile developer pioneering scapes puzzle format",Match-3 with home renovation narrative and weekly events
Moon Active,moonactive.com,ADJACENT,Coin Master,100M+,$400M+ funding,"Israeli studio with Coin Master generating $4B+ revenue",Social casual slot game with raiding and village building
King,king.com,ADJACENT,Candy Crush Saga,3B+,$5.9B acquisition,"Swedish match-3 pioneer with $20B+ lifetime revenue",Iconic match-3 puzzle with endless content updates
Zynga,zynga.com,ADJACENT,Toon Blast,50M+,$12.7B acquisition by Take-Two,"Legendary social games publisher with massive casual portfolio",Cartoon puzzle games with satisfying block-matching mechanics
miHoYo/HoYoverse,hoyoverse.com,ADJACENT,Genshin Impact,100M+,Self-funded unicorn ($30B valuation),"Chinese studio revolutionizing mobile gaming with AAA open-world experiences",Open-world exploration with gacha and beautiful anime graphics
Habby,habby.com,ADJACENT,Archero,50M+,VC-backed,"Top 25 global publisher known for roguelike action games",Roguelike action shooter with satisfying progression loops
Voodoo,voodoo.io,ADJACENT,Helix Jump,500M+,$716.9M total funding,"#3 mobile publisher worldwide with 7B+ downloads and BeReal acquisition",Hypercasual games with simple addictive mechanics
Homa Games,homagames.com,ADJACENT,Fight For America,8M+,$264.6M total funding,"French gaming technology lab with data-driven game creation",Hybrid-casual tower defense with high IAP conversion
Easybrain,easybrain.com,ADJACENT,Sudoku.com,500M+,$1.2B acquisition by Miniclip,"Cyprus-based puzzle developer with 2B+ total downloads",Classic logic puzzles optimized for mobile
Metacore,metacoregames.com,ADJACENT,Merge Mansion,50M+,$218M total funding,"Finnish studio creating world-class merge puzzle entertainment",Merge puzzle with mystery narrative and grandma character
Tripledot Studios,tripledotstudios.com,ADJACENT,Solitaire,200M+,$800M AppLovin deal,"UK studio now operating 12 studios after acquiring AppLovin games division",Classic card games and casual puzzles
Miniclip,miniclip.com,ADJACENT,8 Ball Pool,500M+,Acquired by Tencent,"Swiss publisher with iconic sports and casual games",Social multiplayer sports and casual games
Playtika,playtika.com,ADJACENT,Slotomania,100M+,Public company (NASDAQ: PLTK),"Israeli social casino pioneer with $457M 2025 revenue",Social casino slots with engagement optimization
Product Madness,productmadness.com,ADJACENT,Heart of Vegas,50M+,Acquired by Aristocrat ($3.9B parent),"Social casino leader with Vegas-style slot experiences",Las Vegas casino slots with social features
SciPlay,sciplay.com,ADJACENT,Jackpot Party Casino,50M+,Public company (NASDAQ: SCPL),"Social casino developer with multiple top-grossing slots",Casino slots with party themes and jackpot mechanics
PLAYSTUDIOS,playstudios.com,ADJACENT,myVEGAS Slots,50M+,Public company (NASDAQ: MYPS),"Social casino pioneer with real-world loyalty rewards",Casino games with actual Vegas rewards and experiences
Bandai Namco,bandainamco.com,ADJACENT,Dragon Ball Z Dokkan Battle,100M+,Public company,"Japanese gaming giant monetizing iconic anime IP through gacha",Anime gacha games with beloved characters and festivals
Netmarble,netmarble.com,ADJACENT,MARVEL Future Fight,100M+,Public company (KOSDAQ),"Korean gaming powerhouse with major IP partnerships",Action RPG with Marvel and anime licenses
Nexon,nexon.com,ADJACENT,MapleStory M,10M+,Public company (KOSDAQ),"Korean gaming giant with nostalgic MMORPG mobile ports",Classic MMORPG experiences on mobile
Com2uS,com2us.com,ADJACENT,Summoners War,100M+,Public company (KOSDAQ),"Korean studio pioneering turn-based RPG gacha with 200M+ downloads",Turn-based RPG with monster collection and PvP
SHIFT UP,shiftup.co.kr,ADJACENT,Goddess of Victory: Nikke,20M+,Public company,"Korean studio with $500M+ first-year revenue from Nikke",Sci-fi shooter RPG with anime characters
Yostar,yo-star.com,ADJACENT,Arknights,10M+,VC-backed,"Publisher of premium anime-style strategy games",Tower defense RPG with anime aesthetics and deep strategy
Akatsuki Games,games.aktsk.jp,ADJACENT,TRIBE NINE,10M+,Subsidiary of Akatsuki Inc.,"Japanese studio behind Dragon Ball Z Dokkan Battle operations",Brutal action RPG with anime style and gacha elements
Kuro Games,kurogames.com,ADJACENT,Wuthering Waves,20M+,VC-backed (3N+K2 alliance),"Chinese studio challenging Genshin Impact with open-world gacha",Open-world action RPG with polished combat
Pearl Abyss,pearlabyss.com,ADJACENT,Black Desert Mobile,20M+,Public company (KOSDAQ),"Korean developer of Black Desert franchise with 40M users",Open-world MMORPG with stunning graphics
