Game Name,Company,Downloads,VC Funding,Valuation,Domain,Description
Whiteout Survival,Century Games Pte. Ltd.,30M+,VC-backed,N/A,centurygames.com,"Survival strategy game with glacial apocalypse theme, $1B+ revenue in 17 months"
State of Survival,FunPlus,100M+,$86M Series B,$1B+,funplus.com,"Zombie survival strategy with 100M downloads in 2 years, top-grossing mobile game"
Rise of Kingdoms,Lilith Games,50M+,$1.79M seed (IDG Capital),$3.5B+ revenue,lilithgames.com,"4X strategy game generating over $3.5 billion in global sales"
Royal Match,Dream Games,100M+,$468M total ($2.5B round),$5B,dreamgames.com,"Match-3 puzzle game, fastest Turkish unicorn, $3B+ lifetime revenue"
Clash of Clans,Supercell,500M+,$143M total (Accel/IVP),$10.2B (Tencent acquisition),supercell.com,"Iconic strategy game with 500M+ players worldwide"
Lords Mobile,IGG,300M+,Public company (HKG: 0799),N/A,igg.com,"Real-time strategy RPG with $825M+ revenue, 200+ countries"
Puzzles & Survival,37Games,50M+,Public company,N/A,37games.com,"Match-3 zombie survival hybrid, 10M+ downloads milestone"
Marvel Snap,Second Dinner,20M+,$100M Series B (Griffin Gaming),$1B+,seconddinner.com,"Strategic card battler from ex-Blizzard devs"
Monopoly GO!,Scopely,100M+,$4.9B acquisition (Savvy Games),N/A,scopely.com,"#1 mobile game 2024, $5B+ lifetime revenue"
Pokemon GO,Niantic (now Scopely),1B+,$3.5B acquisition by Scopely,N/A,nianticlabs.com,"AR mobile game phenomenon with 1B+ downloads"
Gardenscapes,Playrix,100M+,$7B valuation (2020),N/A,playrix.com,"Match-3 puzzle with garden renovation, #1 European mobile developer"
Homescapes,Playrix,100M+,$7B valuation (2020),N/A,playrix.com,"Home renovation puzzle game from Playrix"
Toon Blast,Peak Games (Zynga),50M+,$1.85B acquisition by Zynga,N/A,zynga.com,"Cartoon puzzle game with 12M daily active users"
Toy Blast,Peak Games (Zynga),50M+,$1.85B acquisition by Zynga,N/A,zynga.com,"Block puzzle game from Peak Games"
King of Avalon,FunPlus,50M+,$86M Series B,$1B+ revenue per game,funplus.com,"Medieval strategy with dragon warfare"
Guns of Glory,FunPlus,30M+,$86M Series B,$1B+,funplus.com,"Action-packed strategy war game"
Last Shelter: Survival,Long Tech Network,50M+,VC-backed,N/A,longtechgames.com,"Post-apocalyptic strategy with nation-vs-nation combat"
AFK Arena,Lilith Games,50M+,$1.79M seed (IDG Capital),N/A,lilithgames.com,"Idle RPG with strategic combat"
Brawl Stars,Supercell,500M+,$143M total,Part of $10.2B portfolio,supercell.com,"Team battle multiplayer from Supercell"
Clash Royale,Supercell,500M+,$143M total,Part of $10.2B portfolio,supercell.com,"Real-time multiplayer strategy"
Last Fortress: Underground,IM30.NET,30M+,VC-backed,N/A,im30.net,"Underground survival fortress builder"
LifeAfter,NetEase Games,50M+,Public company (NASDAQ: NTES),N/A,neteasegames.com,"Open world doomsday survival MMORPG"
Doomsday: Last Survivors,IGG,20M+,Public company,N/A,igg.com,"Zombie survival with real-time strategy"
Castle Clash,IGG,100M+,Public company,N/A,igg.com,"Epic strategy war game, 10+ years running"
Call of Dragons,Farlight Games,20M+,VC-backed (Lilith spin-off),N/A,farlightgames.com,"Fantasy MMO from Rise of Kingdoms creators"
The Walking Dead: No Man's Land,Next Games,10M+,$16M+ funding,$75M IPO,nextgames.com,"Tactical survival from The Walking Dead IP"
Guardian Tales,Kong Studios,10M+,Series B (Unicorn status),$1B,kongstudios.com,"Action-adventure RPG with $500M+ first-year revenue"
Harry Potter: Hogwarts Mystery,Jam City,50M+,$350M funding,N/A,jamcity.com,"Narrative RPG from licensed IP developer"
Evony: The King's Return,Top Games Inc.,50M+,VC-backed,N/A,evony.com,"Real-time strategy MMO empire builder"
Age of Origins,Camel Studio,20M+,VC-backed,N/A,camelgames.com,"Tower defense zombie strategy"
Viking Rise,IGG,10M+,Public company,N/A,igg.com,"Viking strategy conquest game"
Empires & Puzzles,Small Giant Games (Zynga),30M+,$41M investment,Acquired by Zynga,zynga.com,"Match-3 RPG hybrid from Finnish studio"
Fallout Shelter,Bethesda Game Studios,50M+,Owned by Microsoft,$75.4B parent,bethesda.net,"Vault management simulation"
Million Lords,Million Victories,5M+,$40M+ total funding,N/A,millionvictories.com,"Multiplayer strategy kingdom builder"
Everbright,Made on Earth Games,Pre-launch,$3.25M seed (GEM Capital),N/A,madeonearth.games,"4X mobile strategy in development"
Ludus: Merge Arena,Top App Games,5M+,$10M Series A,N/A,topappgames.com,"Merge strategy RPG from Cyprus studio"
Marvel Strike Force,Scopely,30M+,$4.9B parent acquisition,N/A,scopely.com,"Turn-based RPG with Marvel heroes"
Star Trek Fleet Command,Scopely,10M+,$4.9B parent acquisition,N/A,scopely.com,"Strategy MMO in Star Trek universe"
Stumble Guys,Scopely,500M+,$4.9B parent acquisition,N/A,scopely.com,"Party knockout game"
Find the Cat,Agave Games,10M+,$18M Series A (Balderton),N/A,agavegames.com,"Hidden object casual game"
ZombsRoyale.io,End Game Interactive,10M+,$3M seed,N/A,endgame.io,"Battle royale with zombie theme"
Soda Dungeon 2,Armor Games Studios,5M+,VC-backed,N/A,armorgames.com,"Idle dungeon crawler"
Last Day on Earth: Survival,Kefir!,100M+,VC-backed,N/A,kefirgames.com,"Multiplayer zombie survival shooter"
Frozen City,Century Games Pte. Ltd.,10M+,VC-backed,N/A,centurygames.com,"Ice apocalypse city builder from Whiteout creators"
Frostpunk: Beyond the Ice,11 bit studios / NetEase,5M+,Public + NetEase partnership,N/A,11bitstudios.com,"Mobile adaptation of PC survival hit"
Top War: Battle Game,Topwar Studio,50M+,VC-backed,N/A,topwar.io,"Innovative merge-to-upgrade strategy"
Raid: Shadow Legends,Plarium,50M+,Acquired by Aristocrat,$3.9B parent,plarium.com,"Dark fantasy RPG with 600+ champions"
Vikings: War of Clans,Plarium,30M+,Acquired by Aristocrat,$3.9B parent,plarium.com,"Strategy MMO with Norse theme"
Idle Heroes,DHGAMES,30M+,VC-backed,N/A,dhgames.cn,"Idle RPG with hero collection"
Summoners War,Com2uS,100M+,Public company (KOSDAQ),N/A,com2us.com,"Turn-based RPG with 200M+ downloads"
Epic Seven,Smilegate,20M+,VC-backed (3N+K2 alliance),N/A,smilegate.com,"Anime RPG with gacha mechanics"
Genshin Impact,miHoYo / HoYoverse,100M+,Self-funded unicorn,$30B valuation,hoyoverse.com,"Open-world action RPG phenomenon"
Honkai Star Rail,miHoYo / HoYoverse,50M+,Self-funded unicorn,$30B valuation,hoyoverse.com,"Space fantasy RPG from Genshin creators"
Diablo Immortal,Blizzard / NetEase,30M+,AAA backing (Activision Blizzard),N/A,blizzard.com,"Mobile ARPG from legendary franchise"
Candy Crush Saga,King (Activision),3B+,$5.9B acquisition,Part of $68.7B Microsoft deal,king.com,"Match-3 pioneer with $20B+ lifetime revenue"
Coin Master,Moon Active,100M+,$400M+ funding,$4B+ revenue,moonactive.com,"Social casual slot game"
Subway Surfers,SYBO / Miniclip,3B+,Acquired structure,N/A,sybo.dk,"Endless runner with 3B+ downloads"
Township,Playrix,50M+,$7B valuation,N/A,playrix.com,"Farm and city builder combination"
Fishdom,Playrix,30M+,$7B valuation,N/A,playrix.com,"Match-3 aquarium decoration game"
Manor Matters,Playrix,10M+,$7B valuation,N/A,playrix.com,"Hidden object mystery game"
Merge Mansion,Metacore,10M+,Acquired by Supercell,N/A,metacoregames.com,"Merge puzzle with mystery narrative"
Hay Day,Supercell,100M+,$143M total,Part of portfolio,supercell.com,"Farm simulation from Supercell"
Boom Beach,Supercell,50M+,$143M total,Part of portfolio,supercell.com,"Combat strategy from Supercell"
Squad Busters,Supercell,20M+,$143M total,Part of portfolio,supercell.com,"Party action game from Supercell"
Angry Birds 2,Rovio (Sega),100M+,$775M acquisition by Sega,N/A,rovio.com,"Physics puzzle sequel"
Dragon City,Socialpoint (Take-Two),100M+,Acquired by Take-Two,N/A,socialpoint.es,"Dragon breeding and battle game"
Monster Legends,Socialpoint (Take-Two),50M+,Acquired by Take-Two,N/A,socialpoint.es,"Monster collection RPG"
Jurassic World Alive,Ludia (Jam City),10M+,$165M acquisition,N/A,ludia.com,"AR dinosaur collection game"
Disney Dreamlight Valley,Gameloft,10M+,Owned by Vivendi,$24B parent,gameloft.com,"Life simulation with Disney characters"
Asphalt 9,Gameloft,100M+,Owned by Vivendi,$24B parent,gameloft.com,"Racing simulation with AAA graphics"
March of Empires,Gameloft,10M+,Owned by Vivendi,$24B parent,gameloft.com,"Medieval strategy MMO"
Forge of Empires,InnoGames,10M+,Acquired by MTG,$360M acquisition,innogames.com,"City-building strategy through ages"
Elvenar,InnoGames,5M+,Acquired by MTG,$360M acquisition,innogames.com,"Fantasy city builder"
Game of Thrones: Conquest,WB Games,5M+,Warner Bros backing,N/A,wbgames.com,"Strategy MMO with GoT IP"
MARVEL Future Fight,Netmarble,100M+,Public company (KOSDAQ),N/A,netmarble.com,"Action RPG with Marvel heroes"
Lineage 2: Revolution,Netmarble,30M+,Public company (KOSDAQ),N/A,netmarble.com,"MMORPG with massive PvP"
The Seven Deadly Sins,Netmarble,30M+,Public company (KOSDAQ),N/A,netmarble.com,"Anime RPG adaptation"
Dungeon & Fighter Mobile,Nexon,20M+,Public company (KOSDAQ),N/A,nexon.com,"Mobile adaptation of PC ARPG"
MapleStory M,Nexon,10M+,Public company (KOSDAQ),N/A,nexon.com,"Nostalgic 2D MMORPG mobile version"
FIFA Mobile,EA,100M+,Public company (NASDAQ: EA),$40B market cap,ea.com,"Official FIFA football game"
Madden NFL Mobile,EA,50M+,Public company (NASDAQ: EA),$40B market cap,ea.com,"American football simulation"
The Sims Mobile,EA,50M+,Public company (NASDAQ: EA),$40B market cap,ea.com,"Life simulation franchise"
Plants vs. Zombies 2,EA (PopCap),100M+,Public company (NASDAQ: EA),$40B market cap,ea.com,"Tower defense sequel"
