Rank,Company Name,Headquarters,Website,Revenue (USD/EUR),Employees,Pharma/Healthcare Focus,Key Pharmaceutical Clients,Europe Operations,Asia Operations,Volume/Orders,SEO Description,Key Services
1,Kuehne+Nagel,Switzerland,kuehne-nagel.com,$27.8B (2024),85000,Yes - GDP certified,"Pfizer, Novartis, Roche",Strong - all EU countries,Strong - major Asian markets,"10.8M TEU ocean, 1.9M tons air","Global leader in sea freight, air freight, overland and contract logistics with specialized healthcare solutions",Sea/Air Freight; Contract Logistics; Healthcare; Pharma GDP
2,DHL Supply Chain & Global Forwarding,Germany,dhl.com,$94B (DHL Group 2024),600000+,Yes - DHL Health Logistics,"GSK, Sanofi, AstraZeneca",Dominant - 220 countries,Dominant - all Asian markets,2.1M+ tons air freight,"World's leading logistics company investing €2B in healthcare logistics by 2030",Express; Freight; Supply Chain; eCommerce; Healthcare GDP
3,DSV (incl. Schenker),Denmark,dsv.com,$22.4B (2024),75000+,Yes - GDP certified,"Novo Nordisk, Merck, J&J",Strong - pan-European,Strong - Asia Pacific,3.5M+ TEU ocean,"World's largest freight forwarder after DB Schenker acquisition, specialized pharma solutions",Air/Sea Freight; Road; Contract Logistics; Pharma
4,DB Schenker (now DSV),Germany,dbschenker.com,$19.2B (2024),72000,Yes - GDP certified,"BASF, Bayer, Boehringer",Very Strong - German base,Strong - China/Japan focus,1.2M TEU ocean,"Leading European logistics provider with strong pharmaceutical and automotive expertise",Land Transport; Air/Ocean Freight; Contract Logistics
5,CEVA Logistics,Switzerland,cevalogistics.com,$17.3B (2024),110000,Yes - FORPATIENTS brand,"AbbVie, Takeda, BMS",Strong - 160+ countries,Strong - Asia presence,Global coverage,"Global 3PL with dedicated FORPATIENTS pharmaceutical healthcare logistics brand",Freight Management; Contract Logistics; Healthcare
6,Nippon Express Holdings,Japan,nipponexpress-holdings.com,$15.8B (2024),72000,Yes - GDP certified,"Takeda, Astellas, Daiichi Sankyo",Strong - European network,Dominant - Japan/Asia base,500K+ tons air,"Japan's largest logistics company with global pharmaceutical and healthcare capabilities",Forwarding; Logistics; Heavy Lift; Pharma
7,Sinotrans,China,sinotrans.com,$16.4B (2024),45000,Yes - Healthcare logistics,"Chinese pharma manufacturers",Growing - European expansion,Dominant - China's largest,"Largest China FF",China's largest integrated logistics provider expanding global pharmaceutical services,Freight Forwarding; Express; Warehousing; Pharma
8,Kerry Logistics Network (SF Holding),Hong Kong,kln.com,$9.8B (2024),80000+,Yes - Kerry Pharma,"Regional pharma companies",Strong - European network,Dominant - Asia Pacific,Pan-Asian leader,"Asia's leading logistics provider with dedicated Kerry Pharma division for healthcare",Integrated Logistics; Freight; Pharma; eCommerce
9,Kintetsu World Express (KWE),Japan,kwe.com,$5.2B (2024),18000,Yes - Healthcare solutions,"Japanese pharma companies",Strong - European presence,Strong - Japan/Asia base,Air freight specialist,"Japanese freight forwarder with specialized pharmaceutical and high-tech logistics",Air/Sea Freight; Logistics; Healthcare
10,Hellmann Worldwide Logistics,Germany,hellmann.com,$3.5B (2024),14000,Yes - GDP certified,"European pharma mid-market",Strong - German base,Growing - Asian expansion,Global network,"German family-owned logistics company with healthcare and pharmaceutical expertise",Air/Sea Freight; Road; Contract Logistics
11,Expeditors International,USA,expeditors.com,$9.3B (2024),18000,Yes - Healthcare vertical,"US/EU pharma companies",Strong - pan-European,Strong - Asia Pacific,1M+ TEU ocean,"Global logistics company with dedicated pharmaceutical and healthcare supply chain solutions",Freight Forwarding; Customs; Distribution
12,C.H. Robinson,USA,chrobinson.com,$17.6B (2024),15000,Yes - Temperature control,"Pharma manufacturers",Strong - European network,Growing - Asia presence,21M shipments/year,"One of world's largest logistics platforms with pharma temperature-controlled solutions",Freight; Managed Services; Temperature Control
13,Bolloré Logistics,France,bollore-logistics.com,$5.7B (2024),15000,Yes - GDP certified,"French pharma companies",Very Strong - French base,Strong - Africa/Asia,Global coverage,"French multinational with strong pharmaceutical and healthcare logistics in Africa and Europe",Freight; Supply Chain; Pharma; Africa specialist
14,Rhenus Logistics,Germany,rhenus.com,$7.8B (2024),40000,Yes - Healthcare logistics,"German pharma companies",Very Strong - EU coverage,Growing - Asian markets,European leader,"German logistics provider with GDP-certified pharmaceutical and healthcare solutions",Contract Logistics; Freight; Warehousing
15,Panalpina (now DSV),Switzerland,dsv.com,Merged with DSV,Merged,Yes - GDP certified,Merged with DSV,Merged,Merged,Merged,"Former Swiss freight forwarder now part of DSV with strong pharma heritage",Merged into DSV
16,Agility (GIL now DSV),Kuwait,agility.com,GIL acquired by DSV,Acquired,Yes - Healthcare,"Middle East pharma",Strong - ME/EU,Strong - Middle East,Acquired,"Former major freight forwarder - GIL division acquired by DSV in 2021",Acquired by DSV; Warehousing remains
17,DACHSER,Germany,dachser.com,$8.0B (2024),37300,Yes - Life Sciences,"European pharma companies",Very Strong - EU network,Growing - Asian markets,83M shipments/year,"German family-owned logistics leader with dedicated life sciences and healthcare solutions",Road Freight; Air/Sea; Contract Logistics
18,Geodis,France,geodis.com,$13.7B (2024),49000,Yes - GDP certified,"Sanofi, L'Oreal pharma",Very Strong - French base,Strong - Asia Pacific,Supply chain leader,"French global logistics provider with GDP-certified pharmaceutical distribution",Freight Forwarding; Contract Logistics; Road
19,XPO Logistics,USA,xpo.com,$8.1B (2024),38000,Yes - Healthcare network,"Healthcare manufacturers",Strong - European LTL,Limited - NA focus,14.7B pounds freight,"US-based logistics company expanding European healthcare logistics network",LTL; Brokerage; Last Mile
20,Hitachi Transport System,Japan,hitachi-transportsystem.com,$5.3B (2024),46000,Yes - Healthcare logistics,"Japanese pharma companies",Growing - European presence,Strong - Japan/Asia base,3PL specialist,"Japanese 3PL provider with healthcare and pharmaceutical supply chain expertise",3PL; Smart Logistics; Healthcare
21,Wincanton (now CEVA),UK,wincanton.co.uk,Acquired by CEVA 2024,20000,Yes - Healthcare,"UK pharma companies",Strong - UK base,Limited,UK leader,"UK's largest logistics company acquired by CEVA - strong pharmaceutical heritage",Acquired by CEVA 2024
22,Movianto (Walden/Yusen),Belgium,movianto.com,Part of Yusen/Walden,5000+,Yes - Pharma specialist,"GSK, AstraZeneca, Novartis",Very Strong - 11 EU countries,Limited - EU focus,23 pharma warehouses,"Leading European pharmaceutical supply chain network - acquired by Yusen 2025",Pharma Distribution; 3PL; GDP Warehousing
23,World Courier (Cencora),USA,worldcourier.com,$500M-1B (est),2000+,Yes - Clinical trials,"Top 20 pharma companies",Strong - global,Strong - global,Clinical specialist,"Specialty pharmaceutical logistics for clinical trials and commercial supply chain",Clinical Logistics; Temperature Control; Direct-to-Patient
24,Marken (UPS Healthcare),USA,marken.com,Part of UPS Healthcare,5000+,Yes - Clinical trials,"Top pharma companies",Strong - European network,Strong - Asia Pacific,Clinical leader,"Leading clinical trials logistics provider now part of UPS Healthcare Precision Logistics",Clinical Supply; Direct-to-Patient; Depot Services
25,UPS Healthcare,USA,ups.com/healthcare,$5B+ segment (est),Healthcare division,Yes - GDP certified,"Major pharma companies",Strong - €20M EU investment,Strong - Asia Pacific,Healthcare leader,"UPS dedicated healthcare division with cold chain fleet investment in Europe",Express; Logistics; Cold Chain; Healthcare
26,FedEx Healthcare,USA,fedex.com/healthcare,$4B+ segment (est),Healthcare division,Yes - GDP certified,"Global pharma companies",Strong - European network,Strong - Asia Pacific,Global coverage,"FedEx dedicated healthcare logistics with temperature-controlled solutions",Express; Cold Chain; Healthcare Logistics
27,Alloga (Cencora),UK,alloga.co.uk,Part of Cencora,2000+,Yes - Pharma specialist,"UK pharma companies",Strong - UK/EU,Limited,UK pharma leader,"Specialist healthcare supply chain and logistics provider - part of Cencora network",Pharma 3PL; Distribution; Pre-wholesale
28,Eurotranspharma (Yusen),France,eurotranspharma.com,Part of Yusen/Walden,2000+,Yes - Temperature transport,"European pharma companies",Strong - 26 EU countries,Limited,8 country own fleet,"European healthcare logistics partner for temperature-controlled pharmaceutical transport",Temperature Transport; Last Mile; GDP
29,Biocair,UK,biocair.com,$107M (2024),500+,Yes - Life sciences,"Biotech/Pharma companies",Strong - EU coverage,Growing - global,Specialist courier,"GDP-compliant pharmaceutical and life sciences logistics specialist",Cold Chain; Clinical Trials; Life Sciences
30,PHSE Group,France,phse.com,$200M+ (est),1500+,Yes - Pharma specialist,"Hospital/Lab channels",Strong - European,Limited,Healthcare focus,"Temperature-controlled pharmaceutical logistics for hospital, home, and lab channels",Pharma Logistics; Home Delivery; Lab Logistics
31,Arvato (Bertelsmann),Germany,arvato.com,$5.5B (Arvato SCM),15000,Yes - Healthcare division,"Pharma/MedTech companies",Very Strong - EU,Growing - Asia,Supply chain leader,"Bertelsmann subsidiary with dedicated healthcare logistics for pharma and MedTech",Supply Chain; Healthcare; eCommerce
32,Geis Group,Germany,geis-group.com,$2.1B (2024),10000,Yes - Healthcare logistics,"German pharma companies",Strong - Central EU,Limited,Regional leader,"German family-owned logistics company with healthcare and pharmaceutical services",Road Freight; Logistics; Air/Sea
33,Gefco (CMA CGM),France,gefco.net,$4.8B (2024),11500,Yes - Limited pharma,"Automotive main focus",Strong - European,Growing - Asia,Automotive leader,"French logistics company (CMA CGM subsidiary) with growing healthcare capabilities",Automotive; Supply Chain; Multimodal
